1,"Renasant Bank(Tupelo, MS)Type: Checking,",Bank Deposit,Joint,"$1,001 - $15,000","None,",None (or less than $201)
2,"Renasant Bank(Tupelo, MS)Type: Checking,",Bank Deposit,Spouse,"$1,001 - $15,000","Interest,",None (or less than $201)
3,"Rental PropertyDescription: Rental Property (Alexandria, VA)",Real EstateResidential,Joint,"$250,001 - $500,000","Rent/Royalties,","$5,001 - $15,000"
4,ALTFX - AB Sustainable Global Thematic Fund Class A,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","None, Dividends,",None (or less than $201)
5,"MRK - Merck & Co., Inc.",Corporate SecuritiesStock,Self,"$1,001 - $15,000","Dividends,",None (or less than $201)
6,WMT-Wal-Mart Stores Inc. (NYSE),Corporate SecuritiesStock,Spouse,"$50,001 - $100,000","Dividends,","$201 - $1,000"
7,RNST-Renasant Corp. (NASDAQ),Corporate SecuritiesStock,Self,"$15,001 - $50,000","Dividends,",None (or less than $201)
8,MRK - Merck & Co. Inc. (NYSE),Corporate SecuritiesStock,Spouse,"$15,001 - $50,000","Dividends,","$201 - $1,000"
9,RNST - Renasant Corp. (NASDAQ),Corporate SecuritiesStock,Spouse,"$50,001 - $100,000","Dividends,","$201 - $1,000"
10,Putnam Investments IRA,Retirement PlansIRA,Self,,,
10.1,PGRWX-Putnam Fund for Growth & Income A (NASDAQ),Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Dividends,","$201 - $1,000"
11,American Funds IRA,Retirement PlansIRA,Spouse,,,
11.1,AIVSX-American Funds Invmt Co of Amer A (NASDAQ),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
12,Public Employee's Retirement System of Mississippi,Retirement PlansDefined Benefit Pension Plan,Self,Unascertainable,"None,",None (or less than $201)
13,Public Employee's Retirement System of Mississippi,Retirement PlansDefined Benefit Pension Plan,Spouse,Unascertainable,"None,",None (or less than $201)
14,"Unit Investment TrustDescription: Guggenheim US Capital Strength Portfolio (Chicago, IL)",Other Securities,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
15,Estate of Thomas Frederick WickerFiler comment:  In period of administration; details of assets to be disclosed upon distribution.,TrustGeneral Trust,Self,Unascertainable,"None,",None (or less than $201)
16,"Unit Investment TrustDescription: Guggenheim US Capital Strength Portfolio (Chicago, IL)",Other Securities,Self,"$1,001 - $15,000","None,",None (or less than $201)
